Rank,Ticker,Minervini,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,RMV,Close,ATR% (14),PTC,Contraction,Confirmed Breakout,Not Extended,Flip Setup,SPY Trend OK,Source,CANSLIM,DaysToEarnings,is_restricted,rs_1m_pct,Candidate High-Win,Candidate Flip
80,SKE,8,unknown,unknown,NYSE,2.192487895776133,98,2.024587507737381,92,93,42.78,35.099998474121094,0.06257631917810955,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,97,False,False
81,FIX,8,Industrials,Engineering & Construction,NYSE,2.188435889102878,98,1.772749218193604,95,96,38.2,1462.22998046875,0.05204085823804942,7,False,True,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,95,False,False
82,AAOI,8,Technology,Semiconductors,NASDAQ,2.1853326413997767,98,1.4658073335644348,15,93,85.14,51.68000030517578,0.10519267015457265,7,False,True,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,90,False,False
83,MUX,8,Basic Materials,Other Precious Metals & Mining,NYSE,2.1805373216658333,98,2.0012165890427016,96,87,45.82,26.209999084472656,0.07087534466280648,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,97,False,False
84,CENX,8,Basic Materials,Aluminum,NASDAQ,2.1795961010361227,98,1.9046272338479329,86,83,54.1,52.63999938964844,0.08099489703485135,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,96,False,False
85,POWL,8,Industrials,Electrical Equipment & Parts,NASDAQ,2.1707887321864496,98,1.4396927531492283,84,90,49.97,546.8200073242188,0.07348098039180763,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,90,False,False
86,ATRO,8,Industrials,Aerospace & Defense,NASDAQ,2.168619552908239,98,2.361457106808302,96,95,35.79,78.25,0.05279780587666876,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,98,False,False
87,SEPN,8,unknown,unknown,NASDAQ,2.167627552209838,98,1.8321043052637012,99,71,48.87,27.280000686645508,0.07086561593560577,7,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,96,False,False
88,HLF,8,Consumer Defensive,Packaged Foods,NYSE,2.15746479791394,98,1.9135184976358195,90,60,29.76,19.959999084472656,0.04237046109841335,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,96,False,False
89,AEHR,8,Technology,Semiconductor Equipment & Materials,NASDAQ,2.148240188975967,98,1.7837843136739886,91,99,79.24,33.599998474121094,0.10731292501560183,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,95,False,False
