Rank,Ticker,Minervini,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,RMV,Close,ATR% (14),PTC,Contraction,Confirmed Breakout,Not Extended,Flip Setup,SPY Trend OK,Source,CANSLIM,DaysToEarnings,is_restricted,rs_1m_pct,Candidate High-Win,Candidate Flip
43,ELAN,8,Healthcare,Drug Manufacturers—Specialty & Generic,NYSE,1.4326080436883237,89,1.5313301313242123,94,88,20.94,24.979999542236328,0.03213999764695611,7,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,92,False,False
44,VALE,8,Basic Materials,Other Industrial Metals & Mining,NYSE,1.4504590591409854,89,1.4138314062455979,83,61,21.05,16.709999084472656,0.035650169314908775,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,89,False,False
45,INSW,8,Industrials,Marine Shipping,NYSE,1.43262054102914,89,1.308527473422054,89,75,21.3,67.47000122070312,0.029192881183308428,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,85,False,False
46,HAL,8,Energy,Oil & Gas Equipment & Services,NYSE,1.355357625799339,86,1.2477159112139835,67,18,21.32,35.11000061035156,0.03318143976981623,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,82,False,False
47,FRO,8,Energy,Oil & Gas Midstream,NYSE,1.5447772239087962,92,1.182321605498607,89,64,21.33,34.720001220703125,0.03129113465893431,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,76,False,False
48,TWN,8,Financial Services,Asset Management,NYSE,1.3870002292677954,87,1.2622763959487813,84,86,21.39,61.79999923706055,0.03172677846880784,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,82,False,False
49,WF,8,Financial Services,Banks—Regional,NYSE,1.6932993233364693,94,1.2181538837450814,85,91,21.41,84.47000122070312,0.033173217639840144,7,False,True,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,79,False,False
50,DG,8,Consumer Defensive,Discount Stores,NYSE,1.4383297938499895,89,1.3909256975399324,68,79,21.54,150.63999938964844,0.03128082881931588,7,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,88,False,False
51,EE,7,unknown,unknown,NYSE,1.4191898494172337,88,1.1932052739271541,40,17,21.85,42.150001525878906,0.03189290430133121,6,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,78,False,False
52,MT,8,Basic Materials,Steel,NYSE,1.7521278064070744,95,1.523567775193233,88,77,21.85,65.19999694824219,0.0389570543635174,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,92,False,False
53,CIB,8,Financial Services,Banks—Regional,NYSE,1.494396927485621,91,1.6841841799436676,93,92,21.92,79.55999755859375,0.03038137411739744,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,94,False,False
54,TEVA,8,Healthcare,Drug Manufacturers—Specialty & Generic,NYSE,1.5692705594611172,92,1.5918199596000053,89,45,22.2,34.220001220703125,0.031038630202362083,7,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,93,False,False
55,SFST,8,Financial Services,Banks—Regional,NASDAQ,1.3312836047750238,85,1.3240091925507897,81,79,22.26,60.720001220703125,0.031091186663766934,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,86,False,False
56,MATX,8,Industrials,Marine Shipping,NYSE,1.385960560671498,87,1.3882451691932476,20,6,22.27,167.75,0.03199304350177285,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,88,False,False
57,MGA,8,Consumer Cyclical,Auto Parts,NYSE,1.406523280599871,88,1.1770313606603808,76,74,22.29,64.91999816894531,0.03697957258265085,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,76,False,False
58,WLFC,8,Industrials,Rental & Leasing Services,NASDAQ,1.351600583691006,86,1.1923192237858693,7,31,22.42,205.2100067138672,0.0329407945336932,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,77,False,False
