Rank,Industry,Sector,Relative Strength,Percentile,RS_1W,1 Month Ago,3 Months Ago,6 Months Ago,rs_1w_pct,Tickers
34,Scientific & Technical Instruments,Technology,1.17,50,1.18,54,29,28,56,"COHR,MKSI,KEYS,CGNX,ESE,VPG,ITRN,TDY,GRMN,ST,ACFN,FTV,VNT,NOVT,MLAB,TRMB,ITRI,BMI"
35,Coking Coal,Basic Materials,1.14,49,1.1,45,46,55,45,"HCC,AMR,METC"
36,Telecom Services,Communication Services,1.14,49,1.14,52,30,31,52,"SATS,SIFY,TIGO,GSAT,ATEX,ATNI,VIV,SKM,TIMB,VOD,AMX,VZ,AD,RCI,IRDM,SHEN,TDS,BCE,KT,LBTYB,LBTYA,VEON,CMCSA,T,CHT,PHI,TMUS,TLK,TU,IDT,LBRDA,LBRDK,CHTR,CABO,CCOI"
37,Tools & Accessories,Industrials,1.13,48,1.15,56,26,14,53,"KMT,RBC,TTC,TKR,LECO,CVR,SNA,SWK,EML"
38,Lodging,Consumer Cyclical,1.12,47,1.12,43,42,21,48,"INTG,HTHT,CVEO,MAR,HLT,IHG,H,WH,ATAT,CHH"
39,Medical Distribution,Healthcare,1.12,47,1.15,45,46,19,53,"CAH,MCK,COR,HSIC"
40,unknown,unknown,1.11,45,1.13,38,32,29,50,"AAOI,PVLA,SLV,DGP,USO,COPX,UFO,GDX,OIH,TAN,UTSL,XME,BAR,AAMI,SMH,XLE,DJP,ICLN,GDS,ATMP,UCIB,SNCY,MOO,AMUB,MLPB,XLU,ROBO,IWM,XLK,CUK,QQQ,MDY,MCRI,RSP,PYT,IYT,XTN,JBK,GJT,MAGS,GJS,DIA,GJP,AAON,QQQE,FNGD,KTN,VXZ,DDT,TVE,CCZ,GJO,GJR,UBS,XHB,XLF,ITB,FDN,ITGR,FNGO,VXX,IBUY,UBER,A,BDCZ,PVH,ETHA,IGV,IBIT,FISV"
41,Medical Care Facilities,Healthcare,1.11,45,1.11,47,40,19,47,"PACS,BKD,EHAB,NHC,SNDA,ENSG,HCA,HCSG,THC,GRDN,ACHC,PNTG,DVA,MD,SEM,CON,UHS,USPH,AMN,ASTH,FMS,ADUS,OPCH,EHC,NUTX,CHE,SGRY"
42,Education & Training Services,Consumer Defensive,1.1,43,1.08,26,20,45,41,"LINC,APEI,LGCY,UTI,LAUR,PRDO,EDU,GHC,CVSA,STRA,LOPE,LRN,AFYA,COE"
43,Utilities - Regulated Electric,Utilities,1.1,43,1.08,36,29,18,41,"EIX,KEP,HE,NGG,AEP,FE,NEE,POR,PCG,ETR,FTS,CNP,CEPU,EVRG,IDA,PNW,EMA,EXC,ED,AEE,NWE,LNT,DUK,XEL,DTE,ES,SO,PPL,WEC,OGE,CMS,D,PEG,TXNM,EDN,GNE,MGEE"
44,Food Distribution,Consumer Defensive,1.1,43,1.1,47,29,24,45,"ANDE,WILC,USFD,SYY,CHEF,DIT,CVGW,PFGC"
45,Apparel Retail,Consumer Cyclical,1.1,43,1.1,56,44,21,45,"LVLU,VSCO,ROST,CTRN,BURL,ZUMZ,TJX,AEO,GCO,CRI,BKE,LE,JILL,GAP,BOOT,URBN,ANF,SCVL,LULU"
46,Drug Manufacturers - General,Healthcare,1.09,42,1.08,45,35,16,41,"JNJ,MRK,NVS,GILD,GSK,AMGN,AMRN,BIIB,BMY,AZN,LLY,PFE,ABBV,SNY,NVO"
47,Publishing,Communication Services,1.09,42,1.09,17,13,11,43,"SCHL,NYT,WLY,WLYB,PSO"
48,Discount Stores,Consumer Defensive,1.09,42,1.08,47,35,18,41,"PSMT,TGT,DG,WMT,TBBB,DLTR,COST,BJ,OLLI"
49,Utilities - Regulated Gas,Utilities,1.09,42,1.09,37,32,19,43,"CTRI,NWN,NJR,SR,NI,MDU,ATO,OGS,SWX,BKH,BIPC,SPH,CPK,UGI,RGCO"
50,Agricultural Inputs,Basic Materials,1.09,42,1.09,24,2,12,43,"CF,IPI,NTR,CTVA,SMG,MOS,FMC"
51,Diagnostics & Research,Healthcare,1.09,42,1.13,61,55,33,50,"PRE,BNR,BDSX,PRPO,EXAS,TWST,GH,FONR,ILMN,DGX,MEDP,NTRA,CSTL,LH,RDNT,IDXX,VCYT,CDNA,SHC,TMO,GRAL,MTD,QGEN,DHR,RVTY,CRL,IQV,WAT,WGS,FLGT,ICLR"
52,REIT - Healthcare Facilities,Real Estate,1.08,40,1.07,38,29,24,39,"AHR,WELL,CTRE,VTR,OHI,NHI,SBRA,LTC,HR,UHT,SILA,STRW,DOC,XRN"
53,Beverages - Non-Alcoholic,Consumer Defensive,1.08,40,1.06,32,26,12,38,"COKE,COCO,MNST,CCEP,KO,PEP,CELH,PRMB,KDP,FIZZ"
54,Confectioners,Consumer Defensive,1.08,40,1.07,39,17,24,39,"HSY,TR,MDLZ"
55,Utilities - Independent Power Producers,Utilities,1.07,38,1.13,41,54,57,50,"KEN,NRG,TAC,TLN,CEG,OKLO,VST"
