Rank,Ticker,Minervini,Sector,Industry,Universe,Relative Strength,Percentile,RS_1W,1 Month Ago,3 Months Ago,6 Months Ago,RMV,Close,ATR% (14),PTC,Contraction,Confirmed Breakout,Not Extended,Flip Setup,SPY Trend OK,Source,CANSLIM,DaysToEarnings,is_restricted,Name,Commentary,Commentary_Text,Stage,label,date,rs_1w_pct,rs_1m_pct,Candidate High-Win,Candidate Flip
197,URGN,6,Healthcare,Biotechnology,NASDAQ,1.7061565015126132,94,1.202439472871694,1.289623175013208,99,99,45.71,21.06999969482422,0.06475015478375562,4,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,URGN,Sideways,"Weakening, slipped below MA50 but holding MA200.",2,,,73,83,False,False
198,VRT,8,Industrials,Electrical Equipment & Parts,NYSE,1.7032230802688764,94,1.6247196084633835,1.232304648964175,88,83,43.65,243.75,0.0652328144674336,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,VRT,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,93,79,False,False
199,NEM,8,Basic Materials,Gold,NYSE,1.7031056487504745,94,1.704887644279967,1.7799936116770274,93,92,33.48,122.12999725341797,0.0504965380275096,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",-1,True,NEM,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,94,95,False,False
200,TENX,6,Healthcare,Biotechnology,NASDAQ,1.7026945321289866,94,1.8380095653163042,2.0277583505586794,90,57,46.36,12.260000228881836,0.06517129232779806,3,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,TENX,Sideways,"Weakening, slipped below MA50 but holding MA200.",2,,,96,97,False,False
201,DFTX,8,Healthcare,Biotechnology,NASDAQ,1.7007824602011588,94,1.607457932189118,1.6969094572028314,85,88,47.33,17.1299991607666,0.06873904429692153,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,DFTX,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,93,94,False,False
202,NXTC,8,Healthcare,Biotechnology,NASDAQ,1.7005070532881383,94,1.7558643357694719,1.598775518460744,92,1,53.57,13.729999542236328,0.06841118091735236,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,NXTC,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,95,93,False,False
203,CCJ,8,Energy,Uranium,NYSE,1.7003502032724558,94,1.5800934305578602,1.6703206060955327,85,92,37.47,121.3499984741211,0.05462946537501032,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,CCJ,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,92,94,False,False
204,WF,8,Financial Services,Banks - Regional,NYSE,1.6932993781416559,93,1.614598338497851,1.2181539044309175,84,91,21.41,84.47000122070312,0.033173217639840144,7,False,True,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,WF,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,93,78,False,False
205,IPGP,8,Technology,Semiconductor Equipment & Materials,NASDAQ,1.691133692531009,93,1.872714064477045,1.0364686006432138,50,79,61.69,133.6199951171875,0.08778092068900938,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,IPGP,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,96,54,False,False
206,IMNM,7,Healthcare,Biotechnology,NASDAQ,1.689216324437846,93,1.7992857619623805,1.9564386287308073,97,25,42.47,21.5,0.06943521467950257,4,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,IMNM,Sideways,"Weakening, slipped below MA50 but holding MA200.",2,,,95,96,False,False
